sample	tissue	type	sample_type
GTEX-ZPU1-0006-SM-4WWAT	DLBC	DLBC_normal_GTEx	normal
GTEX-12584-0005-SM-5N9GM	DLBC	DLBC_normal_GTEx	normal
GTEX-XMD1-0006-SM-4AT4Q	DLBC	DLBC_normal_GTEx	normal
GTEX-S7SE-0005-SM-2XCEA	DLBC	DLBC_normal_GTEx	normal
GTEX-TMKS-0005-SM-33OV7	DLBC	DLBC_normal_GTEx	normal
GTEX-ZTSS-0004-SM-4YCCS	DLBC	DLBC_normal_GTEx	normal
GTEX-WEY5-0006-SM-3GIKG	DLBC	DLBC_normal_GTEx	normal
GTEX-13VXT-0005-SM-5N9F3	DLBC	DLBC_normal_GTEx	normal
GTEX-PWN1-0006-SM-5SI7T	DLBC	DLBC_normal_GTEx	normal
GTEX-PLZ6-0006-SM-33HBZ	DLBC	DLBC_normal_GTEx	normal
GTEX-13CF2-0006-SM-5O99L	DLBC	DLBC_normal_GTEx	normal
GTEX-R53T-0005-SM-3GADK	DLBC	DLBC_normal_GTEx	normal
GTEX-11ZU8-0005-SM-5PNU5	DLBC	DLBC_normal_GTEx	normal
GTEX-11DYG-0006-SM-5NQB2	DLBC	DLBC_normal_GTEx	normal
GTEX-WHSB-0002-SM-4M1ZR	DLBC	DLBC_normal_GTEx	normal
GTEX-QDVN-0006-SM-48U1R	DLBC	DLBC_normal_GTEx	normal
GTEX-WY7C-0004-SM-4ONDS	DLBC	DLBC_normal_GTEx	normal
GTEX-ZTX8-0002-SM-4YCEU	DLBC	DLBC_normal_GTEx	normal
GTEX-WCDI-0005-SM-3NB2M	DLBC	DLBC_normal_GTEx	normal
GTEX-14BIM-0006-SM-5O9AA	DLBC	DLBC_normal_GTEx	normal
GTEX-UPK5-0003-SM-3NMDI	DLBC	DLBC_normal_GTEx	normal
GTEX-14A5I-0005-SM-5N9FU	DLBC	DLBC_normal_GTEx	normal
GTEX-PLZ4-0006-SM-2S1NY	DLBC	DLBC_normal_GTEx	normal
GTEX-XXEK-0004-SM-5S2TO	DLBC	DLBC_normal_GTEx	normal
GTEX-132Q8-0006-SM-5NQA4	DLBC	DLBC_normal_GTEx	normal
GTEX-T6MO-0006-SM-32QOU	DLBC	DLBC_normal_GTEx	normal
GTEX-ZPIC-0005-SM-4WWEB	DLBC	DLBC_normal_GTEx	normal
GTEX-14BIN-0005-SM-5N9FE	DLBC	DLBC_normal_GTEx	normal
GTEX-14A5H-0006-SM-5O9AI	DLBC	DLBC_normal_GTEx	normal
GTEX-N7MS-0007-SM-26GMV	DLBC	DLBC_normal_GTEx	normal
GTEX-X585-0005-SM-46MV3	DLBC	DLBC_normal_GTEx	normal
GTEX-X88G-0006-SM-47JX5	DLBC	DLBC_normal_GTEx	normal
GTEX-NPJ8-0007-SM-26GMF	DLBC	DLBC_normal_GTEx	normal
GTEX-14C5O-0005-SM-5P9ER	DLBC	DLBC_normal_GTEx	normal
GTEX-T6MN-0002-SM-5S2TI	DLBC	DLBC_normal_GTEx	normal
GTEX-131YS-0005-SM-5NQAS	DLBC	DLBC_normal_GTEx	normal
GTEX-ZVE2-0006-SM-51MRW	DLBC	DLBC_normal_GTEx	normal
GTEX-1477Z-0005-SM-5PNWD	DLBC	DLBC_normal_GTEx	normal
GTEX-11TT1-0004-SM-5S2NT	DLBC	DLBC_normal_GTEx	normal
GTEX-POMQ-0006-SM-5SI7D	DLBC	DLBC_normal_GTEx	normal
GTEX-XGQ4-0004-SM-4AT5S	DLBC	DLBC_normal_GTEx	normal
GTEX-111YS-0006-SM-5NQBE	DLBC	DLBC_normal_GTEx	normal
GTEX-TML8-0005-SM-32QPA	DLBC	DLBC_normal_GTEx	normal
GTEX-UJMC-0005-SM-3GACU	DLBC	DLBC_normal_GTEx	normal
GTEX-WRHK-0005-SM-3MJF5	DLBC	DLBC_normal_GTEx	normal
GTEX-R55E-0006-SM-2TC5G	DLBC	DLBC_normal_GTEx	normal
GTEX-XBEW-0006-SM-4AT4E	DLBC	DLBC_normal_GTEx	normal
GTEX-117YW-0005-SM-5NQ8Z	DLBC	DLBC_normal_GTEx	normal
GTEX-12696-0005-SM-5LZYS	DLBC	DLBC_normal_GTEx	normal
GTEX-QV44-0006-SM-2S1Q7	DLBC	DLBC_normal_GTEx	normal
GTEX-S341-0006-SM-3NM8D	DLBC	DLBC_normal_GTEx	normal
GTEX-P4QS-0005-SM-2I3EY	DLBC	DLBC_normal_GTEx	normal
GTEX-12WSJ-0005-SM-5LU8S	DLBC	DLBC_normal_GTEx	normal
GTEX-1192W-0005-SM-5NQBQ	DLBC	DLBC_normal_GTEx	normal
GTEX-ZQG8-0005-SM-4YCEH	DLBC	DLBC_normal_GTEx	normal
GTEX-132QS-0005-SM-5LZXK	DLBC	DLBC_normal_GTEx	normal
GTEX-13PLJ-0005-SM-5NQ99	DLBC	DLBC_normal_GTEx	normal
GTEX-V1D1-0003-SM-3NMDP	DLBC	DLBC_normal_GTEx	normal
GTEX-QMR6-0005-SM-32PKY	DLBC	DLBC_normal_GTEx	normal
